unit,iter,solver,time_us
0,300,stdDP,222.355
0,300,parDP,210.767
0,300,extDP,121.605
0,300,MILP,12329.4
0,600,stdDP,220.03
0,600,parDP,195.663
0,600,extDP,119.925
0,600,MILP,11423.8
1,300,stdDP,189.923
1,300,parDP,198.398
1,300,extDP,106.168
1,300,MILP,44121.3
1,600,stdDP,216.881
1,600,parDP,180.641
1,600,extDP,61.598
1,600,MILP,40026.9
10,300,stdDP,163.847
10,300,parDP,239.623
10,300,extDP,492.418
10,300,MILP,91739.7
10,600,stdDP,187.929
10,600,parDP,207.662
10,600,extDP,472.916
10,600,MILP,93611.9
11,300,stdDP,203.302
11,300,parDP,258.876
11,300,extDP,307.776
11,300,MILP,105803
11,600,stdDP,257.404
11,600,parDP,168.498
11,600,extDP,291.475
11,600,MILP,106103
12,300,stdDP,196.943
12,300,parDP,164.68
12,300,extDP,362.544
12,300,MILP,138597
12,600,stdDP,177.514
12,600,parDP,146.52
12,600,extDP,352.681
12,600,MILP,136934
13,300,stdDP,347.197
13,300,parDP,146.41
13,300,extDP,346.993
13,300,MILP,135663
13,600,stdDP,225.315
13,600,parDP,152.154
13,600,extDP,346.071
13,600,MILP,137231
14,300,stdDP,210.084
14,300,parDP,165.413
14,300,extDP,279.202
14,300,MILP,115438
14,600,stdDP,192.954
14,600,parDP,159.972
14,600,extDP,229.995
14,600,MILP,106253
15,300,stdDP,199.325
15,300,parDP,200.055
15,300,extDP,69.085
15,300,MILP,35422.4
15,600,stdDP,188.181
15,600,parDP,166.29
15,600,extDP,62.026
15,600,MILP,34059.2
16,300,stdDP,161.253
16,300,parDP,159.384
16,300,extDP,597.302
16,300,MILP,45352.6
16,600,stdDP,132.957
16,600,parDP,148.754
16,600,extDP,757.665
16,600,MILP,47921.2
17,300,stdDP,173.558
17,300,parDP,150.131
17,300,extDP,883.603
17,300,MILP,35138.3
17,600,stdDP,185.466
17,600,parDP,239.056
17,600,extDP,994.465
17,600,MILP,35669.7
18,300,stdDP,224.31
18,300,parDP,203.523
18,300,extDP,250.418
18,300,MILP,106241
18,600,stdDP,322.687
18,600,parDP,229.302
18,600,extDP,217.293
18,600,MILP,97154.2
19,300,stdDP,254.099
19,300,parDP,179.155
19,300,extDP,85.587
19,300,MILP,25185.4
19,600,stdDP,170.859
19,600,parDP,151.182
19,600,extDP,64.761
19,600,MILP,22332.4
2,300,stdDP,134.876
2,300,parDP,165.94
2,300,extDP,424.382
2,300,MILP,91871.7
2,600,stdDP,150.806
2,600,parDP,167.561
2,600,extDP,422.86
2,600,MILP,90831.8
20,300,stdDP,185.391
20,300,parDP,156.237
20,300,extDP,395.248
20,300,MILP,84959.5
20,600,stdDP,211.103
20,600,parDP,247.637
20,600,extDP,397.957
20,600,MILP,88858.3
21,300,stdDP,219.835
21,300,parDP,192.779
21,300,extDP,290.487
21,300,MILP,91974.5
21,600,stdDP,258.584
21,600,parDP,185.784
21,600,extDP,273.497
21,600,MILP,96833
22,300,stdDP,179.843
22,300,parDP,178.674
22,300,extDP,65.376
22,300,MILP,22680.2
22,600,stdDP,189.043
22,600,parDP,166.617
22,600,extDP,65.185
22,600,MILP,23558.6
23,300,stdDP,194.261
23,300,parDP,206.904
23,300,extDP,66.652
23,300,MILP,33035.7
23,600,stdDP,203.187
23,600,parDP,164.289
23,600,extDP,64.578
23,600,MILP,32616
24,300,stdDP,155.863
24,300,parDP,178.172
24,300,extDP,739.947
24,300,MILP,43311.7
24,600,stdDP,157.996
24,600,parDP,156.376
24,600,extDP,696.649
24,600,MILP,42365.3
25,300,stdDP,184.063
25,300,parDP,207.653
25,300,extDP,192.726
25,300,MILP,97104.8
25,600,stdDP,182.789
25,600,parDP,154.411
25,600,extDP,190.75
25,600,MILP,95450.3
26,300,stdDP,227.957
26,300,parDP,194.356
26,300,extDP,125.918
26,300,MILP,25759.8
26,600,stdDP,443.772
26,600,parDP,175.368
26,600,extDP,129.02
26,600,MILP,25948.1
27,300,stdDP,161.07
27,300,parDP,172.183
27,300,extDP,331.58
27,300,MILP,86423.8
27,600,stdDP,160.022
27,600,parDP,164.647
27,600,extDP,333.202
27,600,MILP,82949.5
28,300,stdDP,217.407
28,300,parDP,210.859
28,300,extDP,125.888
28,300,MILP,11371.2
28,600,stdDP,212.652
28,600,parDP,205.663
28,600,extDP,136.782
28,600,MILP,11123.3
29,300,stdDP,168.359
29,300,parDP,175.725
29,300,extDP,835.36
29,300,MILP,32856.3
29,600,stdDP,199.217
29,600,parDP,162.133
29,600,extDP,889.96
29,600,MILP,32723
3,300,stdDP,170.537
3,300,parDP,187.98
3,300,extDP,63.957
3,300,MILP,23576
3,600,stdDP,170.113
3,600,parDP,165.874
3,600,extDP,79.218
3,600,MILP,22821.8
30,300,stdDP,174.453
30,300,parDP,138.159
30,300,extDP,301.675
30,300,MILP,129593
30,600,stdDP,184.546
30,600,parDP,180.488
30,600,extDP,301.936
30,600,MILP,132503
31,300,stdDP,208.886
31,300,parDP,188.518
31,300,extDP,150.019
31,300,MILP,12924.1
31,600,stdDP,207.842
31,600,parDP,149.381
31,600,extDP,148.187
31,600,MILP,13494.8
32,300,stdDP,206.045
32,300,parDP,157.976
32,300,extDP,126.556
32,300,MILP,25884
32,600,stdDP,371.507
32,600,parDP,192.486
32,600,extDP,130.184
32,600,MILP,24621.8
33,300,stdDP,186.126
33,300,parDP,165.139
33,300,extDP,413.387
33,300,MILP,92884.5
33,600,stdDP,185.12
33,600,parDP,228.294
33,600,extDP,461.66
33,600,MILP,88686.7
34,300,stdDP,162.453
34,300,parDP,185.006
34,300,extDP,468.124
34,300,MILP,135310
34,600,stdDP,205.469
34,600,parDP,172.146
34,600,extDP,469.368
34,600,MILP,126720
35,300,stdDP,176.734
35,300,parDP,145.098
35,300,extDP,312.654
