unit,iter,solver,time_us
0,300,stdDP,270.995
0,300,parDP,206.535
0,300,extDP,136.399
0,300,MILP,28334.7
0,600,stdDP,255.42
0,600,parDP,182.831
0,600,extDP,152.376
0,600,MILP,29219.5
1,300,stdDP,194.477
1,300,parDP,137.185
1,300,extDP,444.046
1,300,MILP,131650
1,600,stdDP,193.568
1,600,parDP,180.232
1,600,extDP,378.435
1,600,MILP,137318
10,300,stdDP,207.979
10,300,parDP,197.763
10,300,extDP,317.711
10,300,MILP,103194
10,600,stdDP,200.078
10,600,parDP,168.276
10,600,extDP,326.036
10,600,MILP,110359
11,300,stdDP,205.781
11,300,parDP,961.94
11,300,extDP,101.68
11,300,MILP,23993.8
11,600,stdDP,277.14
11,600,parDP,195.658
11,600,extDP,69.261
11,600,MILP,25913
12,300,stdDP,180.526
12,300,parDP,193.018
12,300,extDP,578.092
12,300,MILP,108488
12,600,stdDP,178.147
12,600,parDP,211.506
12,600,extDP,604.652
12,600,MILP,105723
13,300,stdDP,180.068
13,300,parDP,217.338
13,300,extDP,807.399
13,300,MILP,36688.7
13,600,stdDP,186.422
13,600,parDP,200.639
13,600,extDP,862.464
13,600,MILP,37364.2
14,300,stdDP,149.139
14,300,parDP,1021.68
14,300,extDP,775.455
14,300,MILP,61652.2
14,600,stdDP,298.215
14,600,parDP,1063.42
14,600,extDP,1336.22
14,600,MILP,85880.1
15,300,stdDP,417.018
15,300,parDP,1004.24
15,300,extDP,139.288
15,300,MILP,49610.8
15,600,stdDP,219.95
15,600,parDP,863.697
15,600,extDP,73.959
15,600,MILP,43926.9
16,300,stdDP,223.355
16,300,parDP,968.82
16,300,extDP,68.253
16,300,MILP,46472.3
16,600,stdDP,426.668
16,600,parDP,1994.05
16,600,extDP,98.454
16,600,MILP,46592.4
17,300,stdDP,169.076
17,300,parDP,1110.82
17,300,extDP,1036.08
17,300,MILP,63260
17,600,stdDP,291.658
17,600,parDP,1907.92
17,600,extDP,735.61
17,600,MILP,58359.9
18,300,stdDP,439.839
18,300,parDP,1102.26
18,300,extDP,134.583
18,300,MILP,15380
18,600,stdDP,457.25
18,600,parDP,993.311
18,600,extDP,240.798
18,600,MILP,14997.7
