unit,iter,solver,time_us
0,0,stdDP,2.33688e+06
0,0,extDP,16253.2
0,0,MILP,12742.6
0,1600,stdDP,518066
0,1600,extDP,7260.29
0,1600,MILP,11951.4
0,2400,stdDP,537101
0,2400,extDP,11524.1
0,2400,MILP,18326.1
0,3200,stdDP,545810
0,3200,extDP,15681.9
0,3200,MILP,12984.9
0,4000,stdDP,511202
0,4000,extDP,12408.6
0,4000,MILP,19440.8
0,4800,stdDP,575090
0,4800,extDP,7094.94
0,4800,MILP,17850.5
0,5600,stdDP,553041
0,5600,extDP,6615.9
0,5600,MILP,12210.8
0,6400,stdDP,545574
0,6400,extDP,14997.1
0,6400,MILP,25142.9
0,7200,stdDP,828581
0,7200,extDP,7188.45
0,7200,MILP,12622.8
0,800,stdDP,518144
0,800,extDP,15828.7
0,800,MILP,24868
0,8000,stdDP,739193
0,8000,extDP,11827.4
0,8000,MILP,19226.9
0,8800,stdDP,530148
0,8800,extDP,15992
0,8800,MILP,25663.3
0,9600,stdDP,744013
0,9600,extDP,15879.4
0,9600,MILP,11753.6
1,0,stdDP,539589
1,0,extDP,2551.01
1,0,MILP,9989.02
1,1600,stdDP,610147
1,1600,extDP,7329.52
1,1600,MILP,24257.2
1,2400,stdDP,698834
1,2400,extDP,6739.42
1,2400,MILP,21943.6
1,3200,stdDP,726871
1,3200,extDP,6383.36
1,3200,MILP,22573.2
1,4000,stdDP,721904
1,4000,extDP,5804.09
1,4000,MILP,11845.2
1,4800,stdDP,482095
1,4800,extDP,6330.54
1,4800,MILP,22051.3
1,5600,stdDP,730185
1,5600,extDP,7175.5
1,5600,MILP,35803.7
1,6400,stdDP,1.44167e+06
1,6400,extDP,8487.67
1,6400,MILP,14475.7
1,7200,stdDP,684492
1,7200,extDP,10565.3
1,7200,MILP,18269.2
1,800,stdDP,588155
1,800,extDP,6566.73
1,800,MILP,26154.9
1,8000,stdDP,712232
1,8000,extDP,6268.73
1,8000,MILP,22644.6
1,8800,stdDP,683075
1,8800,extDP,3820.07
1,8800,MILP,16544.1
1,9600,stdDP,513269
1,9600,extDP,5913.27
1,9600,MILP,21908.5
10,0,stdDP,807602
10,0,extDP,103322
10,0,MILP,39358.4
10,1600,stdDP,814491
10,1600,extDP,102768
10,1600,MILP,39804.3
10,2400,stdDP,816273
10,2400,extDP,107676
10,2400,MILP,19305.4
10,3200,stdDP,634606
10,3200,extDP,81571.4
10,3200,MILP,32319.2
10,4000,stdDP,673892
10,4000,extDP,111490
10,4000,MILP,20070.4
10,4800,stdDP,642610
10,4800,extDP,86620.7
10,4800,MILP,33736.8
10,5600,stdDP,739760
10,5600,extDP,108662
10,5600,MILP,41332.6
10,6400,stdDP,723972
10,6400,extDP,76988.8
10,6400,MILP,29427.5
10,7200,stdDP,615788
10,7200,extDP,83270.5
10,7200,MILP,30282.2
10,800,stdDP,662365
10,800,extDP,105918
10,800,MILP,41643.5
10,8000,stdDP,815105
10,8000,extDP,104270
10,8000,MILP,39180.2
10,8800,stdDP,779545
10,8800,extDP,79766.6
10,8800,MILP,29945.1
10,9600,stdDP,646809
10,9600,extDP,60139.4
10,9600,MILP,24489
11,0,stdDP,582477
11,0,extDP,16616.8
11,0,MILP,20760.6
11,1600,stdDP,522266
11,1600,extDP,40771.5
11,1600,MILP,31662.8
11,2400,stdDP,756309
11,2400,extDP,33432.5
